Caps;Tickers;30dAvVolume;Price
2021500;FCD;8367;0.03744
1972992;FRM;265097;0.0297
1959944;ACT;71588;0.001977
1902305;UBXT;57990;0.0043761
1891236;ISP;53377;0.000649
1859770;UBX;178410;0.000039
1774536;LYM;184282;0.002175
1717090;PLAY;0;0.006457172609999999
1636720;BMON;15066;0.01387
1603769;WEST;30042;0.0399
1557688;PLY;30035;0.001053
1554383;TRADE;168881;0.124519
1479888;EQZ;192704;0.04037
1476439;NFTB;13497;0.01359
1445129;UNB;20836;0.001241
1434357;NORD;53606;0.2022
1428534;SKU;146457;0.02464
1414641;WOMBAT;17148;0.003373
1411718;LAYER;44109;0.05311
1406893;CWS;66008;0.404
1347930;CV;0;0.00017085419999999997
1325807;TRIAS;275956;0.80515
1302763;CBC;54244;0.00835
1271679;DPET;31815;0.0773
1258929;MAN;31515;0.005787
1248347;ACE;2311534;0.010054
1244525;EFX;116397;0.004823
1231168;ODDZ;233375;0.01861
1161588;OLE;204529;0.01731
1136136;TXA;46898;0.4607
1129437;HOTCROSS;289230;0.00956
1121511;OPCT;51044;0.01177
1121243;FCON;135342;0.000403
1099534;CPC;0;0.0028818319200000003
1071768;LBP;244738;0.001625
1059871;CS;0;0.0048402825
1054217;PUMLX;239810;0.0383
1020656;EPK;71801;0.00691
962806;FEAR;177406;0.14392
940147;IOI;127488;0.1087
922878;TCP;243267;0.00751
909375;GMB;19154;0.0001771
847913;STRONG;48991;6.051
827457;YOP;24597;0.0408
818869;HAWK;17629;0.00388
816525;XTAG;62384;0.0391
811457;CTI;103371;0.006311
799502;BONDLY;100186;0.00758
737117;HYVE;22319;0.02836
708711;PHNX;252379;0.00914
705493;LOCG;23463;0.01402
645832;XNL;163385;0.03124
623213;GLQ;55969;0.001681
605251;XSR;11237;0.000126
594493;STND;35508;0.04287
594238;DAPPX;223827;0.003592
586044;PBX;119273;0.001029
500827;2CRZ;405113;0.00318
454813;MARSH;126018;0.0626
417482;XCUR;101401;0.04072
396090;FCL;22726;0.02215
385525;ADB;0;0.00040435067999999993
382858;MVP;0;7.973238000000001e-05
355699;DOSE;0;0
305035;RED;347865;0.00397
295116;FORM;32458;0.003788
293991;TIDAL;183901;0.0003344
255812;CAPP;0;0.00037968
217490;UDOO;0;0
216559;IDEA;88038;0.01239
200747;AXPR;0;0.0007213844000000001
182564;MAKI;95890;0.002777
167636;VISION;123845;0.00336
159302;JAR;34562;0.001381
153512;GEM;268540;0.10752
102810;1EARTH;266594;0.001462
7752;ACOIN;391868;0.024085
0;ACQ;220884;0.0413
0;AFK;25620;0.00978
0;AI;350902;0.00089
0;ARKER;340283;0.001468
0;ARNM;96211;0.0412
370000;ARX;144005;0.00212
285000;BNS;594123;0.0006701
1600000;BULL;72574;0.007685
0;BURP;27764;0.00291
66000000;CCD;265776;0.01217
4200000;CELT;39018;0.002351
0;CHMB;247042;0.000338
0;CIX100;185936;0.0365
830000;CLH;23615;0.002797
0;CMP;275607;0.1328
0;COMB;312012;0.001257
0;COOHA;69117;0.2299
240000;CREDI;71475;0.00163
0;CWAR;22883;0.02253
37000000;CWEB;148277;0.02154
1200000;DAPPT;179338;0.000813
11700000;DC;652819;0.00037
1100000;DMTR;333575;0.00797
0;DREAMS;44373;0.002492
0;EGAME;163255;0.0001239
0;EPX;103667;0.000458
2700000;EQX;192979;0.01164
0;ERTHA;87238;0.004
1100000;ETHO;17351;0.01872
0;FALCONS;183975;0.005539
22000000;FITFI;226541;0.0538
1250000;FLAME;509240;0.03285
1500000;FLY;687871;0.00292
0;FORESTPLUS;314672;0.0050639
0;FRR;39982;0.00137
0;FT;5193506;1.5392
0;FTG;61331;0.00694
0;GENS;21244;0.002527
0;GGG;44191;0.057
320000;HAKA;56793;0.01093
2500000;HBB;127348;0.1512
0;HEART;109731;0.00472
0;HIDOODLES;4125052;0.00933
200000;HIENS3;4932518;0.03099
0;HIENS4;6147303;0.002767
0;HIMAYC;600000;0.01619
0;HIODBS;4832339;0.003829
0;HIPUNKS;3456726;0.07199
0;HISAND33;2843075;0.01527
0;ILA;127992;0.003348
0;INDI;2362;0.1193
63000000;ITAMCUBE;16677;0.0862
0;IXS;99390;0.04257
0;KARA;241693;0.0065
0;KICKS;164000;0.00924
0;KOL;82605;0.002964
0;LACE;50618;0.00528
0;LAVAX;194917;0.07614
0;LMR;24069;0.00953
0;LOC;11995;0.80847
0;LOVE;63617;0.00321
0;LPOOL;110638;0.1245
0;mars-04;49125;0.00111
0;MELOS;164379;0.01542
0;MEM;23993;0.02588
0;MJT;185629;0.1395
0;MLS;505581;0.2818
0;MNET;350670;0.001061
0;MNST;220804;0.006098
0;MPLX;250281;0.0886
0;MSWAP;149413;0.0006549
0;MTRG;341526;3.697
0;MTS;58709;0.00997
0;MXW;51936;0.003591
0;NDAU;146633;15.076
0;NGC;57352;0.0378
0;NGL;130200;0.28851
0;NHCT;37568;0.0446
0;NTVRK;292934;0.2054
0;NYM;27862;0.2688
0;PEL;134311;0.01091
0;PIX;824237;0.001328
0;PLATO;101676;0.000399
0;PLD;223093;0.0429
0;PLGR;211377;0.000576
0;POKT;21215;0.06674
0;POL;301580;0.02753
0;POLC;41348;0.02837
0;POLX;242824;0.00005647
0;PRMX;892645;0.043415
0;PSL;790639;0.000905
0;QUARTZ;120792;1.8438
0;RACEFI;357358;0.0179
0;RANKER;87547;0.00515
0;RBP;165726;0.0092
0;REVU;36185;0.02808
0;ROAR;126617;0.00995
0;ROSN;166414;0.01516
0;RPC;15335;0.00617
0;SCLP;254851;0.2227
0;SDL;38427;0.01547
0;SLCL;68511;0.0483
0;SOLR;70356;0.03594
0;SON;62233;0.00034
0;SRBP;264851;0.3307
0;STORE;59302;0.03112
0;SURV;181695;0.000471
0;SYNR;108311;0.01278
0;TAUM;65627;0.00081
0;TRIBL;154645;1.9641
0;UNIC;97698;6.18
0;UPO;131088;0.00746
0;WAL;46015;0.03097
0;WELL;32534;0.0067
0;XAVA;36516;0.2507
0;XETA;111587;0.0494
0;ZCX;2540892;0.101
0;ZKT;206309;0.97
